# 15 态等权光电导统计量；eta=0.065 M=600
# omega mean_Re_total mean_Im_total mean_Re_regular mean_Im_regular mean_Re_drude mean_Im_drude std_Re_total std_Im_total std_Re_regular std_Im_regular std_Re_drude std_Im_drude min_Re_total min_Im_total min_Re_regular min_Im_regular min_Re_drude min_Im_drude max_Re_total max_Im_total max_Re_regular max_Im_regular max_Re_drude max_Im_drude
0.07199999999999999 -2.692374579650227 -3.046388413254479 0.02907766443537942 -0.03185669672888496 -2.721452244085606 -3.014531716525594 0.3630619903004367 0.412875149238504 0.006541822846881689 0.0070319762209227 0.3679353675835729 0.4075591764002651 -2.966438573177528 -3.3644163370671 0.01964990195097949 -0.04043655033796833 -3.002110376517492 -3.325414570911683 -1.862500005855574 -2.106505407493577 0.03711102270884221 -0.02166243269247242 -1.882149907806553 -2.084842974801105
0.074 -2.610444057421324 -3.037757852802335 0.02909250217062039 -0.03274700034381322 -2.639536559591945 -3.005010852458522 0.3519822747403991 0.4117385243889954 0.006550861991145833 0.007230521565018475 0.3568605168120642 0.4062719729860425 -2.876053541589534 -3.355004832772653 0.01965425848459943 -0.04156950987507382 -2.911746885130716 -3.314911838456507 -1.805842956498583 -2.10052417082948 0.0371395972634623 -0.02226580300247283 -1.825497214983183 -2.078258367827007
0.076 -2.531250616607677 -3.027287549970187 0.02910776401440675 -0.03363775108898116 -2.560358380622084 -2.993649798881206 0.3412725291247495 0.4103533517647076 0.006560165278749449 0.0074293342885555 0.3461557717822052 0.4047359793145785 -2.788687714448985 -3.343564013863092 0.01965873567048728 -0.04270327671476442 -2.824403212944013 -3.302379141288384 -1.75107903880725 -2.093270398234042 0.03716900144799597 -0.0228693080754564 -1.770737774477738 -2.070401090158585
0.078 -2.454739596838447 -3.015164619473065 0.0291234514301988 -0.03452896155069069 -2.483863048268645 -2.980635657922375 0.3309253634900235 0.4087449342071346 0.006569734088281634 0.007628422072653481 0.3358137427096552 0.4029764912515864 -2.704280793941753 -3.330300296234237 0.01966333361459777 -0.04383787380077966 -2.740019064182082 -3.288022877018498 -1.698170450705109 -2.084873492776855 0.03719923917218014 -0.02347295159320683 -1.717833784319707 -2.061400541183648
0.08 -2.380850473095811 -3.001562230844104 0.02913956592550252 -0.03542064435633385 -2.409990039021314 -2.966141586487771 0.3209325949879758 0.4069366892238693 0.006579569840707584 0.007827792635828494 0.3258262469264787 0.4010169192941274 -2.622766012785304 -3.315404712473257 0.01966805242586127 -0.04497332416915071 -2.658527673661466 -3.272034059891035 -1.647075334167254 -2.075453213047583 0.03723031446615421 -0.02407673724067173 -1.666743386593116 -2.051376475806912
0.082 -2.309518122804652 -2.986640304672045 0.02915610905227215 -0.03631281217561919 -2.338674231856924 -2.950327492496428 0.3112854191941656 0.4049502431195058 0.006589673999841582 0.008027453735110761 0.3161844801894086 0.3988788827004848 -2.544071531990868 -3.299053679898148 0.0196728922161385 -0.04610965095096339 -2.579857204553208 -3.25458908882097 -1.597748651536885 -2.065120154671464 0.03726223148175113 -0.02468066870611196 -1.617421543753023 -2.040439485965353
0.08400000000000001 -2.240673931563166 -2.970546234237518 0.02917308240735625 -0.037205477721767 -2.269847013970522 -2.933340756515752 0.3019745596011421 0.4028055285604555 0.006600048072824042 0.008227413167182444 0.3068791661726652 0.3965823070539058 -2.468121660625901 -3.281409796615344 0.01967785310028801 -0.04724687737511196 -2.503931968145827 -3.235850543449992 -1.550142950246211 -2.053976249390444 0.03729499449395096 -0.02528474968112244 -1.569820803346499 -2.028691499709321
0.08599999999999999 -2.17424675224328 -2.953415617281287 0.0291904876329318 -0.03809865375276004 -2.203437239876212 -2.915316963528527 0.2929903972874847 0.400520883509562 0.006610693610622461 0.008427678769521942 0.2979006861366351 0.3941455231961632 -2.394837913824658 -3.262622648754181 0.0196829351961584 -0.04838502677110155 -2.430673481856387 -3.21596799137922 -1.504209026128328 -2.042115271151606 0.03732860790223756 -0.02588898386074821 -1.523891961324486 -2.016226287290858
0.08799999999999999 -2.110163731783515 -2.935372985713225 0.02920832641695835 -0.03899235307258477 -2.139372058200474 -2.89638063264064 0.2843230826991401 0.3981131498823368 0.006621612208547899 0.008628258421561674 0.2892391907088174 0.3915853658827067 -2.324139924846584 -3.242829615429712 0.01968813862458317 -0.04952412257187293 -2.360001381289421 -3.195078793130293 -1.459896495225518 -2.029623340771415 0.0373630762321473 -0.0264933749435864 -1.479584633850101 -2.003129965827829
0.09 -2.048351019352299 -2.916532523703799 0.02922660049366126 -0.03988658853246978 -2.07757761984596 -2.876645935171329 0.2759626313922715 0.3955977706325265 0.006632805506792936 0.008829160045845164 0.2808846956262748 0.3889172708671495 -2.255946226271115 -3.22215666088993 0.0196934635094128 -0.05066418831662102 -2.291834201432298 -3.173308894290874 -1.417154283553618 -2.016579422565281 0.03739840413677543 -0.02709792663185394 -1.436847747063031 -1.989481495933427
0.092 -1.988734368756461 -2.896998766829749 0.02924531164400134 -0.04078137303217267 -2.017979680400462 -2.856217393797577 0.2678990054782826 0.3929888842762708 0.006644275190968333 0.009030391609226272 0.2728271631802219 0.3861553694243142 -2.190174914531391 -3.200719105763399 0.01969890997752172 -0.05180524765371405 -2.226090041189461 -3.150773596760469 -1.37593104372662 -2.003055807874265 0.03743459639834448 -0.02770264263147994 -1.395629953704142 -1.975353165242785
0.094 -1.931239647070479 -2.876867276814577 0.02926446169619039 -0.04167671952124009 -1.960504108766669 -2.835190557293337 0.2601221823900712 0.3902994161167189 0.006656022992678396 0.009231961124052623 0.2650565709818417 0.3833125795737404 -2.126744210997425 -3.178622371384761 0.01970447815882215 -0.05294732434356447 -2.162687124466203 -3.127578303074201 -1.336175506723794 -1.98911858171321 0.0374716579298334 -0.02830752665219571 -1.355879984882617 -1.960811055061015
0.096 -1.875793260516097 -2.856225287955082 0.02928405252619596 -0.04257264100031017 -1.905077313042294 -2.813652646954772 0.252622212460707 0.3875411656406636 0.006668050690102084 0.009433876649374572 0.2575629695404981 0.3804006934751973 -2.065572931775838 -3.155962692886396 0.01971016818626914 -0.05409044226159303 -2.101544269968981 -3.103819229492649 -1.297836776427365 -1.974828069837001 0.03750959377668098 -0.02891258240763423 -1.317546944613634 -1.945915487429367
0.098 -1.822322507665161 -2.835152322597748 0.02930408605827908 -0.04346915052240599 -1.851626593723441 -2.791683172075341 0.2453892666763767 0.3847248897307974 0.00668036010859014 0.009636146292172418 0.250336530016186 0.3774304606397879 -2.006580877337797 -3.132827798148043 0.01971598019588683 -0.05523492896261124 -2.042581280833978 -3.079584084949689 -1.260864573897096 -1.960239264401744 0.03754840911846878 -0.0295178136154011 -1.280580554092982 -1.930721450786343
0.1 -1.770755869098365 -2.813720774061798 0.02932456426553363 -0.04436626119426241 -1.800080433363899 -2.769354512867537 0.2384136758382916 0.3818603814768063 0.006692953121290555 0.009838778208585234 0.2433675833809375 0.3744116667399038 -1.949689152049694 -3.109297550835985 0.01972191432677733 -0.05638114798771629 -1.985719264158388 -3.054952714089828 -1.225209437697957 -1.945402227112149 0.03758810927074523 -0.03012322399717267 -1.244931352024735 -1.915279003114976
0.102 -1.721023241747684 -2.791996456233803 0.02934548917045558 -0.04526398617764523 -1.75036873091814 -2.746732470056157 0.2316859622459739 0.3789565444805528 0.006705831649779491 0.01004178060516956 0.2366466521015677 0.3713532079132295 -1.894820422682837 -3.085444556676651 0.01972797072112676 -0.05752854084414685 -1.930880889510772 -3.029997703539979 -1.190822885971187 -1.930362469319044 0.03762869968682281 -0.03072881727879783 -1.210550856692314 -1.899633652040246
0.104 -1.67305612529367 -2.770039119713398 0.02936686284551382 -0.04616233869070427 -1.702422988139183 -2.723876781022694 0.225196864898464 0.376021462639028 0.006718997664722391 0.01024516174015944 0.2301644753403256 0.3682631605445208 -1.841899124033503 -3.061334732831824 0.01973414952423116 -0.05867713344037952 -1.877990594551764 -3.004784951282822 -1.157657545346579 -1.915161308983668 0.03767018595969925 -0.03133459719037147 -1.17739169487081 -1.883826711793296
0.106 -1.626787767188244 -2.747902934898734 0.02938868741375271 -0.04706133200932518 -1.656176454601996 -2.70084160288941 0.2189373591018039 0.3730624654576374 0.006732453186547532 0.01044892992475108 0.2239120285617902 0.3651488465776885 -1.790851618901645 -3.037027840804141 0.01974045088450923 -0.05982695183677188 -1.826974745013459 -2.979374199560409 -1.125667251240312 -1.899836204777579 0.03771257382397648 -0.03194056746633221 -1.145407702124821 -1.867895637311246
0.108 -1.582153272133654 -2.725636942788033 0.02941096504939456 -0.04796097946850571 -1.611564237183049 -2.677675963319528 0.2128986712710879 0.3700861889987682 0.006746200286142412 0.01065309352439751 0.217880538334309 0.3620168944631593 -1.741606318860165 -3.012577983729316 0.01974687495350962 -0.06097802224925199 -1.777761755469386 -2.953819532164518 -1.094807123570743 -1.884421067855089 0.0377558691578767 -0.03254673184556163 -1.114553998524253 -1.851874336009528
0.11 -1.539089681170161 -2.703285474561432 0.0294336979784741 -0.0488612944637432 -1.568523379148635 -2.65442418009769 0.2070722896236996 0.3670986326095338 0.006760241085565028 0.0108576609601299 0.2120614930225933 0.3588732958843888 -1.694093771498756 -2.988034069229064 0.0197534218859487 -0.06213037105313064 -1.730282176579055 -2.928169837287632 -1.065033621455665 -1.868946552034176 0.03780007798528758 -0.03315309407144421 -1.084787043341614 -1.835793457962732
0.112 -1.497536024908403 -2.680888541213104 0.02945688847948304 -0.0497622904524392 -1.526992913387886 -2.631126250760665 0.2014499713769862 0.3641052116003688 0.006774577758786925 0.01106264070987745 0.206446649984724 0.3557234584352165 -1.648246719145969 -2.963440239225547 0.01976009183969396 -0.06328402478689869 -1.684468753810787 -2.902469237335509 -1.036304580028149 -1.853440323264298 0.03784520647789761 -0.03375965789201545 -1.056064671867843 -1.819680665372283
0.114 -1.457433354885288 -2.658482194643048 0.02948053888403198 -0.05066398095531756 -1.48691389376932 -2.607818213687729 0.1960237469883129 0.3611108060650513 0.006789212532444066 0.01126804130982335 0.2010280398114996 0.3525722544386302 -1.604000133458782 -2.938836268272321 0.01976688497580987 -0.06443901015612308 -1.640256462032 -2.876757487256123 -1.008579232122608 -1.837927309355688 0.03789126095735976 -0.03436642706000224 -1.028346117098418 -1.803560882295686
0.116 -1.418724756521639 -2.636098861704073 0.02950465157753248 -0.05156637955785938 -1.448229408099172 -2.584532482146215 0.1907859219077398 0.3581198060443301 0.006804147686616878 0.01147387135576837 0.1957979680783799 0.3494240661091087 -1.561291229716512 -2.914257932051286 0.01977380145856476 -0.06559535403734776 -1.597582519803918 -2.851070343034685 -0.9818182172367494 -1.822429931004571 0.03793824789754831 -0.03497340533293331 -1.001592018695314 -1.787456525671638
0.118 -1.381355346712341 -2.613767652743211 0.02952922899990061 -0.05246949991175839 -1.410884575712241 -2.561298152831453 0.1857290762530735 0.3551361532412451 0.006819385555632878 0.01168013950451189 0.1907490150197717 0.3462828272666623 -1.520059464162409 -2.889737347733765 0.01978084145544441 -0.06675308348212278 -1.556386386723956 -2.82543990205272 -0.9559835798653917 -1.806968315178764 0.03798617392684343 -0.03558059647324575 -0.9757644213208362 -1.771387718705518
0.12 -1.345272258681327 -2.591514646187341 0.0295542736462679 -0.05337335573639598 -1.374826532327595 -2.538141290450945 0.1808460627631977 0.3521633794977115 0.006834928528883299 0.01188685447526415 0.1858740334815482 0.343152061812089 -1.480246517296758 -2.8653032879153 0.01978800513717786 -0.06791222572099335 -1.516609746719628 -2.799894917020852 -0.9310387590266801 -1.791560491935481 0.03803504583051751 -0.03618800424835907 -0.9508267641638579 -1.755372487687122
