# sector=12 Eg=121.9996940704211 eta=0.065 area=25.98076211353316 Kexp=8.229040508124587 source_norm2=31.833218229836135 lattice=corrected Np=12 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=3.85881912572875e-13 drude_weight=-1.665718685684391
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -6.171833696931737 -0 0.02566269914499131 -0 -6.197496396076728 -0
0.002 -6.165971673293543 -0.1912988183066181 0.02566282030404029 -0.0007869877343847934 -6.191634493597583 -0.1905118305722333
0.004 -6.148451947885199 -0.3815195293493884 0.02566318378756136 -0.001573982784910826 -6.17411513167276 -0.3799455465644775
0.006 -6.119471688776325 -0.5696042673964947 0.02566378961470488 -0.002360992468092074 -6.14513547839103 -0.5672432749284027
0.008 -6.079353378835486 -0.7545348569199964 0.02566463781738737 -0.003148024101181358 -6.105018016652873 -0.7513868328188151
0.01 -6.028535953276267 -0.9353507283435599 0.02566572844030484 -0.00393508500254881 -6.054201681716572 -0.9314156433410111
0.012 -5.967563030796942 -1.111164661077495 0.02566706154093298 -0.004722182492040733 -5.993230092337875 -1.106442478585454
0.014 -5.897068814387985 -1.281175851923444 0.02566863718952656 -0.005509323891364464 -5.922737451577511 -1.275666528032079
0.016 -5.817762321461012 -1.444679969307265 0.02567045546917729 -0.006296516524449253 -5.843432776930189 -1.438383452782815
0.018 -5.730410638816434 -1.601076026106431 0.02567251647575811 -0.007083767717824395 -5.756083155292192 -1.593992258388607
0.02 -5.635821887449434 -1.749870071806346 0.02567482031795636 -0.007871084800995078 -5.66149670776739 -1.741998987005351
0.022 -5.534828530827888 -1.890675855949804 0.02567736711736249 -0.008658475106796796 -5.56050589794525 -1.882017380843007
0.024 -5.42827157667713 -2.023212739947983 0.02568015700838859 -0.009445945971791858 -5.453951733685519 -2.013766793976191
0.026 -5.316986116824365 -2.147301227521712 0.02568319013833297 -0.01023350473663316 -5.342669306962698 -2.137067722785079
0.028 -5.201788533017969 -2.262856543226293 0.02568646666743259 -0.01102115874642807 -5.227474999685402 -2.251835384479865
0.03 -5.08346557877736 -2.369880714833992 0.02568998676882131 -0.01180891535113925 -5.109155565546181 -2.358071799482853
0.032 -4.962765436535427 -2.468453612509771 0.02569375062863751 -0.01259678190592379 -4.988459187164065 -2.455856830603847
0.034 -4.840390751761082 -2.558723371110625 0.02569775844597612 -0.01338476577154803 -4.866088510207058 -2.545338605339077
0.036 -4.716993565264225 -2.6408965777778 0.02570201043296328 -0.01417287431474219 -4.742695575697189 -2.626723703463058
0.038 -4.593172003226508 -2.715228551548107 0.02570650681480141 -0.01496111490857351 -4.618878510041309 -2.700267436639534
0.04 -4.469468541599301 -2.782013980735345 0.02571124782974115 -0.01574949493285681 -4.495179789429042 -2.766264485802488
0.042 -4.346369635935885 -2.841578122173474 0.02571623372919798 -0.016538021774498 -4.372085869665082 -2.825040100398976
0.044 -4.224306497147943 -2.894268707823739 0.02572146477774813 -0.01732670282788773 -4.25002796192569 -2.876942004995851
0.046 -4.103656795290615 -2.940448651357051 0.02572694125317523 -0.01811554549529202 -4.12938373654379 -2.922333105861759
0.048 -3.984747084359311 -2.980489601720764 0.02573266344650601 -0.01890455718723778 -4.010479747805817 -2.961585044533526
0.05 -3.867855758438167 -3.014766353092302 0.02573863166208208 -0.0196937453228786 -3.89359439010025 -2.995072607769423
0.052 -3.753216370902369 -3.043652091026359 0.02574484621758712 -0.02048311733039378 -3.778961217119956 -3.023168973695965
0.054 -3.641021171679856 -3.067514432534974 0.02575130744410134 -0.02127268064737922 -3.666772479123957 -3.046241751887595
0.056 -3.531424741197989 -3.086712202498337 0.02575801568615434 -0.02206244272122957 -3.557182756884143 -3.064649759777108
0.058 -3.424547622376451 -3.101592879214723 0.0257649713017909 -0.02285241100952224 -3.450312593678242 -3.078740468205201
0.06 -3.320479873059345 -3.112490637031458 0.02577217466259442 -0.02364259298043641 -3.34625204772194 -3.088848044051022
0.062 -3.219284480107715 -3.119724912854852 0.02577962615380236 -0.02443299611309726 -3.245064106261517 -3.095291916741755
0.064 -3.121000592756602 -3.12359942499923 0.02578732617431664 -0.02522362789801751 -3.146787918930919 -3.098375797101212
