# k  E-E0  [4x6 Np=4 V1=1.0 V2=0.0 V3=0.0 t'=0.2]
2  0.0000000000
6  0.0055486563
10  0.0055486563
0  0.0997900927
9  0.1318194019
7  0.1318194019
8  0.1342356690
4  0.1342356690
8  0.1448319406
4  0.1448319406
5  0.1571641238
11  0.1571641238
1  0.1739026007
3  0.1739026007
10  0.1850276084
6  0.1850276084
9  0.1875441410
7  0.1875441410
2  0.1939386606
0  0.1969352197
0  0.2064343758
0  0.2081193458
8  0.2088466192
4  0.2088466192
4  0.2147785315
8  0.2147785315
1  0.2319376359
3  0.2319376359
5  0.2642918435
11  0.2642918435
5  0.2864026043
11  0.2864026043
9  0.3154944816
7  0.3154944816
3  0.3163266047
1  0.3163266047
3  0.3419013840
1  0.3419013840
10  0.3471690600
6  0.3471690600
5  0.3572296344
11  0.3572296344
6  0.3726921675
10  0.3726921675
7  0.3739636223
9  0.3739636223
2  0.3820752684
2  0.3863065996
