# sector_k  q  N_proj(q)  [proj ED TiltedLat30 Np=12 V1=10.0 V2=2.0 V3=2.0]
0  0  0.00000000
0  1  0.02308277
0  2  0.01980767
0  3  0.14346010
0  4  0.06715533
0  5  0.12020727
0  6  0.06325525
0  7  0.05627862
0  8  0.05627862
0  9  0.06325525
0  10  0.12020727
0  11  0.06715533
0  12  0.14346010
0  13  0.01980767
0  14  0.02308277
1  0  0.00000000
1  1  0.03391624
1  2  0.05768337
1  3  0.08839576
1  4  0.08595996
1  5  0.15264250
1  6  0.04740846
1  7  0.06595996
1  8  0.06730071
1  9  0.05716846
1  10  0.15704380
1  11  0.08448993
1  12  0.08581397
1  13  0.06415354
1  14  0.04268223
2  0  0.00000000
2  1  0.04184768
2  2  0.05810104
2  3  0.08625025
2  4  0.08483172
2  5  0.12582566
2  6  0.05207388
2  7  0.06544944
2  8  0.06868484
2  9  0.06159910
2  10  0.12579790
2  11  0.07877242
2  12  0.08149194
2  13  0.06135457
2  14  0.04778629
3  0  0.00000000
3  1  0.01602819
3  2  0.02076090
3  3  0.15859977
3  4  0.08559913
3  5  0.09234160
3  6  0.04827786
3  7  0.08514753
3  8  0.08824806
3  9  0.05536782
3  10  0.09284526
3  11  0.08299675
3  12  0.15839697
3  13  0.02447210
3  14  0.01936783
4  0  0.00000000
4  1  0.04200845
4  2  0.05707651
4  3  0.08558757
4  4  0.07422237
4  5  0.16070903
4  6  0.03391589
4  7  0.05976259
4  8  0.06079196
4  9  0.03784122
4  10  0.16142079
4  11  0.07261483
4  12  0.08453857
4  13  0.05893013
4  14  0.04452331
5  0  0.00000000
5  1  0.04336826
5  2  0.05915915
5  3  0.07942025
5  4  0.06898715
5  5  0.19280448
5  6  0.03827496
5  7  0.06148673
5  8  0.05715351
5  9  0.02691069
5  10  0.19112463
5  11  0.07370453
5  12  0.08207432
5  13  0.05286165
5  14  0.03649389
6  0  0.00000000
6  1  0.02434751
6  2  0.02390593
6  3  0.14606089
6  4  0.06855729
6  5  0.10807842
6  6  0.06575339
6  7  0.06787836
6  8  0.06423062
6  9  0.05521558
6  10  0.10633580
6  11  0.07290000
6  12  0.14923848
6  13  0.01825443
6  14  0.01732459
7  0  0.00000000
7  1  0.04604237
7  2  0.06579381
7  3  0.08254304
7  4  0.09142505
7  5  0.13058907
7  6  0.06518535
7  7  0.06880105
7  8  0.06646172
7  9  0.05666454
7  10  0.13190621
7  11  0.09821973
7  12  0.08980192
7  13  0.06515062
7  14  0.03946822
8  0  0.00000000
8  1  0.03946822
8  2  0.06515062
8  3  0.08980192
8  4  0.09821973
8  5  0.13190621
8  6  0.05666454
8  7  0.06646172
8  8  0.06880105
8  9  0.06518535
8  10  0.13058907
8  11  0.09142505
8  12  0.08254304
8  13  0.06579381
8  14  0.04604237
9  0  0.00000000
9  1  0.01732459
9  2  0.01825443
9  3  0.14923848
9  4  0.07290000
9  5  0.10633580
9  6  0.05521558
9  7  0.06423062
9  8  0.06787836
9  9  0.06575339
9  10  0.10807842
9  11  0.06855729
9  12  0.14606089
9  13  0.02390593
9  14  0.02434751
10  0  0.00000000
10  1  0.03649389
10  2  0.05286165
10  3  0.08207432
10  4  0.07370453
10  5  0.19112463
10  6  0.02691069
10  7  0.05715351
10  8  0.06148673
10  9  0.03827496
10  10  0.19280448
10  11  0.06898715
10  12  0.07942025
10  13  0.05915915
10  14  0.04336826
11  0  0.00000000
11  1  0.04452331
11  2  0.05893013
11  3  0.08453857
11  4  0.07261483
11  5  0.16142079
11  6  0.03784122
11  7  0.06079196
11  8  0.05976259
11  9  0.03391589
11  10  0.16070903
11  11  0.07422237
11  12  0.08558757
11  13  0.05707651
11  14  0.04200845
12  0  0.00000000
12  1  0.01936783
12  2  0.02447210
12  3  0.15839697
12  4  0.08299675
12  5  0.09284526
12  6  0.05536782
12  7  0.08824806
12  8  0.08514753
12  9  0.04827786
12  10  0.09234160
12  11  0.08559913
12  12  0.15859977
12  13  0.02076090
12  14  0.01602819
13  0  0.00000000
13  1  0.04778629
13  2  0.06135457
13  3  0.08149194
13  4  0.07877242
13  5  0.12579790
13  6  0.06159910
13  7  0.06868484
13  8  0.06544944
13  9  0.05207388
13  10  0.12582566
13  11  0.08483172
13  12  0.08625025
13  13  0.05810104
13  14  0.04184768
14  0  0.00000000
14  1  0.04268223
14  2  0.06415354
14  3  0.08581397
14  4  0.08448993
14  5  0.15704380
14  6  0.05716846
14  7  0.06730071
14  8  0.06595996
14  9  0.04740846
14  10  0.15264250
14  11  0.08595996
14  12  0.08839576
14  13  0.05768337
14  14  0.03391624
