# k  E-E0  [proj ED TiltedLat30 Np=13 V1=10.0 V2=2.0 V3=2.0 t3=0.2]
2  0.0000000000
13  0.0000000000
9  0.0334392540
6  0.0334392540
0  0.0565270783
7  0.0597281159
8  0.0597281159
10  0.0800072496
5  0.0800072496
14  0.1029968810
1  0.1029968810
12  0.1339094089
3  0.1339094089
11  0.1345929195
4  0.1345929195
13  0.1942482929
2  0.1942482929
9  0.2230404280
6  0.2230404280
14  0.2496759664
1  0.2496759664
0  0.2586725253
10  0.2667409650
5  0.2667409650
8  0.2670058668
7  0.2670058668
3  0.3027324061
12  0.3027324061
4  0.3610120241
11  0.3610120241
0  0.9207511335
14  1.0219253100
1  1.0219253100
10  1.0771376510
5  1.0771376510
4  1.1083139704
11  1.1083139704
9  1.1101354436
6  1.1101354436
13  1.1193540419
2  1.1193540419
12  1.1651702440
3  1.1651702440
8  1.2013586657
7  1.2013586657
0  1.9798404285
8  2.0027975827
7  2.0027975827
4  2.0094181343
11  2.0094181343
12  2.0304843281
3  2.0304843281
5  2.0380794384
10  2.0380794384
14  2.0537688592
1  2.0537688592
9  2.1018756715
6  2.1018756715
2  2.1485039354
13  2.1485039354
1  3.3448123162
14  3.3448123162
0  3.3662211863
8  3.4463723740
7  3.4463723740
11  3.4611161785
4  3.4611161785
10  3.5230181631
5  3.5230181631
3  3.5230876214
12  3.5230876214
2  3.5411010321
13  3.5411010321
9  3.5483105954
6  3.5483105954
12  6.0197529286
3  6.0197529286
11  6.0536483730
4  6.0536483730
0  6.1539413554
7  6.1646397157
8  6.1646397157
10  6.2428952292
5  6.2428952292
14  6.3966136760
1  6.3966136760
2  6.4061282684
13  6.4061282684
6  6.4227652990
9  6.4227652990
4  6.7632458970
11  6.7632458970
0  6.9338568005
7  7.0260013177
8  7.0260013177
3  7.2639667973
12  7.2639667973
14  7.3693594596
1  7.3693594596
5  7.7593247034
10  7.7593247034
6  7.7931543691
9  7.7931543691
2  7.9668870368
13  7.9668870368
