# k  E-E0  [proj ED RectLat4x6 Np=4 V1=1.0 t3=0.2]
2  0.0000000000
6  0.0019066876
10  0.0078786532
3  0.2136390345
11  0.2168491631
9  0.2245325470
1  0.2285868904
0  0.2334292685
5  0.2334709997
10  0.2340660855
6  0.2350150347
7  0.2368273631
2  0.2376248135
8  0.2389440955
4  0.2527273836
8  0.2568301326
4  0.2715301988
0  0.2753616785
11  0.2921088204
7  0.2935540558
2  0.2964226339
3  0.3006567829
6  0.3064103448
9  0.3110127073
10  0.3213910403
5  0.3274546503
10  0.3297411802
4  0.3328794122
4  0.3361678442
8  0.3384004751
0  0.3384798593
0  0.3425345058
8  0.3442712932
1  0.3512171517
4  0.3668456041
2  0.3675976889
4  0.3700285676
8  0.3713386476
8  0.3722362864
0  0.3804599328
0  0.3837277780
6  0.3933064003
1  0.3953744920
7  0.3997133141
9  0.4031152945
5  0.4048278990
6  0.4127697820
2  0.4137995178
11  0.4187839033
7  0.4203712889
1  0.4262935828
5  0.4298425896
8  0.4349713482
3  0.4351292088
9  0.4410231424
6  0.4417643590
0  0.4419803308
8  0.4424013411
3  0.4446615244
4  0.4448280452
10  0.4471273978
0  0.4487912951
2  0.4497427933
7  0.4621631490
11  0.4627623543
11  0.4664328388
1  0.4667695004
3  0.4716080356
4  0.4728962101
5  0.4746579121
9  0.4827182880
1  0.4847297366
11  0.4882543540
10  0.4916074719
7  0.4921280046
11  0.5052746961
5  0.5053118090
3  0.5153763357
9  0.5173269717
8  0.5198819209
7  0.5199269299
0  0.5212006559
3  0.5225010134
5  0.5278316326
3  0.5354413599
1  0.5377414149
7  0.5392651636
10  0.5438152451
9  0.5454018585
11  0.5472036839
2  0.5472785866
4  0.5491618733
4  0.5583380494
0  0.5808930269
10  0.5825222908
10  0.5848345485
6  0.5876172699
6  0.5892437689
1  0.5946053972
2  0.5987738868
2  0.5988781937
2  0.6010570654
6  0.6019491702
7  0.6056416474
8  0.6085721881
10  0.6142412445
5  0.6211627017
10  0.6268367629
11  0.6315567223
9  0.6370267929
3  0.6385845276
6  0.6428835939
1  0.6437306849
9  0.6446520548
2  0.6455582905
3  0.6460820234
9  0.6470786111
6  0.6471840558
7  0.6511214669
7  0.6520613685
5  0.6575077876
3  0.6576303462
11  0.6621188568
10  0.6624953929
2  0.6641580556
11  0.6646750661
1  0.6730306547
4  0.6803840949
