# sector=1 Eg=892.884557202236 eta=0.065 area=25.98076211353316 Kexp=4.77705334428402 source_norm2=32.69425522216669 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=100.0 V2=0.0 V3=0.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=3.585935501676828e-12 drude_weight=-2.8547784046916336
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -10.23856400909688 -0 0.3829647200503146 -0 -10.6215287291472 -0
0.002 -10.22844581779087 -0.3365373091626551 0.3830365375288068 -0.01003015976820357 -10.61148235531968 -0.3265071493944516
0.004 -10.19820486097223 -0.6712287964639359 0.3832520785813941 -0.02006221556832833 -10.58145693955362 -0.6511665808956075
0.006 -10.14817878752368 -1.002263329205451 0.3836116092486491 -0.03009806181108136 -10.53179039677233 -0.9721652673943693
0.008 -10.07891983810899 -1.327897794160958 0.3841155735596724 -0.04013958964789203 -10.46303541166867 -1.287758204513066
0.01 -9.991179655382817 -1.646487800652812 0.3847645944777395 -0.05018868528964895 -10.37594424986056 -1.596299115363163
0.012 -9.885889112699806 -1.956514659890524 0.3855594752257847 -0.06024722827349186 -10.27144858792559 -1.896267431617032
0.014 -9.764134148619087 -2.256607780330722 0.3865012009956852 -0.0703170896444627 -10.15063534961477 -2.186290690686259
0.016 -9.627128737739691 -2.545561897124882 0.387590941047837 -0.08040013003872212 -10.01471967878753 -2.46516176708616
0.018 -9.476186189874602 -2.822348849024304 0.3888300511996809 -0.09049819764988687 -9.865016241074283 -2.731850651374417
0.02 -9.312689951529695 -3.086123903967325 0.3902200767182862 -0.1006131260448687 -9.702910028247981 -2.985510777922456
0.022 -9.1380649956391 -3.336226893781366 0.3917627556131649 -0.1107467318190616 -9.529827751252265 -3.225480161962305
0.024 -8.953750742214156 -3.572178632810532 0.3934600223446659 -0.1209008120503509 -9.347210764558822 -3.451277820760181
0.026 -8.761176271795545 -3.793673255041794 0.3953140119520407 -0.1310771415427607 -9.156490283747585 -3.662596113499034
0.028 -8.561738393692057 -4.000567205697762 0.3973270646123787 -0.1412774698127749 -8.959065458304435 -3.859289735884987
0.03 -8.356782929001913 -4.192865668407299 0.399501730636511 -0.1515035178049507 -8.756284659638423 -4.041362150602348
0.032 -8.147589378520239 -4.370707204170875 0.401840775918114 -0.1617569742935329 -8.549430154438353 -4.208950229877343
0.034 -7.935358978419732 -4.534347332748441 0.4043471878406115 -0.1720394919353381 -8.339706166260344 -4.362307840813103
0.036 -7.721206008642212 -4.684141711415988 0.4070241816578983 -0.1823526829420808 -8.12823019030011 -4.501789028473907
0.038 -7.506152113269663 -4.820529471004303 0.4098752073595332 -0.1926981143287729 -7.916027320629197 -4.62783135667553
0.04 -7.291123318615914 -4.944017164621328 0.4129039570316229 -0.203077302684381 -7.704027275647537 -4.740939861936947
0.042 -7.076949390946552 -5.055163678812071 0.4161143727280034 -0.2134917084377424 -7.493063763674555 -4.841671970374328
0.044 -6.864365157610003 -5.154566356444325 0.4195106548631203 -0.2239427295394412 -7.283875812473123 -4.930623626904883
0.046 -6.654013418128759 -5.242848490009932 0.4230972711390074 -0.234431694528128 -7.077110689267767 -5.008416795481804
0.048 -6.446449090441703 -5.320648265826842 0.4268789660212933 -0.2449598549003201 -6.873328056462997 -5.075688410926522
0.05 -6.242144267242637 -5.388609175202324 0.4308607707717746 -0.2555283767296996 -6.673005038014411 -5.133080798472624
0.052 -6.041493893963549 -5.44737185786511 0.4350480140530345 -0.2661383314518429 -6.476541908016584 -5.181233526413267
0.054 -5.844821819899925 -5.497567305165448 0.4394463331104244 -0.2767906857414642 -6.28426815301035 -5.220776619423983
0.056 -5.652387014448576 -5.539811324232669 0.4440616855442122 -0.287486290392728 -6.096448699992788 -5.252325033839941
0.058 -5.464389779403986 -5.574700147838918 0.4489003616748016 -0.2982258681070769 -5.913290141078787 -5.276474279731841
0.06 -5.28097782430177 -5.602807066370338 0.4539689975061421 -0.3090100000861121 -5.734946821807912 -5.293797066284226
0.062 -5.102252104072798 -5.624679956335388 0.4592745882864678 -0.3198391113157802 -5.561526692359266 -5.304840845019608
0.064 -4.928272346351593 -5.640839582674895 0.4648245026625779 -0.3307134544147887 -5.39309684901417 -5.310126128260106
0.066 -4.759062219586554 -5.651778558424926 0.4706264974215926 -0.3416330919243463 -5.229688717008147 -5.31014546650058
0.068 -4.594614112791644 -5.657960853806091 0.4766887328007284 -0.3525978768786848 -5.071302845592373 -5.305362976927406
0.07 -4.434893513640164 -5.659821756731016 0.4830197883485384 -0.3636074315124131 -4.917913301988702 -5.296214325218602
0.072 -4.279842984069309 -5.657768197186048 0.4896286793005417 -0.3746611239148298 -4.769471663369851 -5.283107073271218
0.074 -4.129385742029479 -5.652179358532901 0.4965248734376803 -0.3857580424625964 -4.625910615467159 -5.266421316070304
0.076 -3.983428864984526 -5.643407508953647 0.5037183083628307 -0.3968969678090459 -4.487147173347356 -5.246510541144601
0.078 -3.841866135591967 -5.631778995901962 0.5112194091404911 -0.4080763422230111 -4.353085544732458 -5.22370265367895
0.08 -3.704580553145687 -5.617595355238529 0.5190391062093158 -0.4192942360323716 -4.223619659355003 -5.198301119206158
0.082 -3.571446536130818 -5.601134494701681 0.5271888534615569 -0.4305483109082242 -4.098635389592375 -5.170586183793457
0.084 -3.442331841939632 -5.582651918466778 0.5356806463723003 -0.4418357797252035 -3.978012488311933 -5.140816138741574
0.086 -3.317099229721401 -5.562381965723106 0.544527040018459 -0.453153362682677 -3.86162626973986 -5.109228603040429
0.088 -3.195607891650228 -5.540539041587061 0.5537411668046909 -0.4644972393711719 -3.749349058454919 -5.076041802215889
0.09 -3.077714676795888 -5.517318823259932 0.5633367536825634 -0.4758629964436152 -3.641051430478452 -5.041455826816317
