# sector=8 Eg=892.7743315012137 eta=0.065 area=25.98076211353316 Kexp=4.509691036248906 source_norm2=33.28365245281444 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=100.0 V2=0.0 V3=0.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=4.4570457854040676e-12 drude_weight=-1.0927158873496996
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -4.02307875861456 -0 0.04249535782341753 -0 -4.065574116437977 -0
0.002 -4.019232230023858 -0.1262592447034919 0.04249646279961247 -0.001282977232000521 -4.061728692823471 -0.1249762674714914
0.004 -4.007736166699891 -0.251811302501451 0.04249977811276125 -0.002566013589903126 -4.050235944812652 -0.2492452889115478
0.006 -3.988719910278487 -0.3759622650032987 0.0425053049175835 -0.003849168215969052 -4.031225215196071 -0.3721130967873296
0.008 -3.962395008474815 -0.4980442607299901 0.04251304513918694 -0.005132500285189886 -4.004908053614002 -0.4929117604448002
0.01 -3.929049401287969 -0.6174272079081826 0.04252300147514222 -0.006416069021550123 -3.971572402763111 -0.6110111388866325
0.012 -3.889039700595781 -0.7335291419595646 0.04253517739699914 -0.007699933714743609 -3.93157487799278 -0.725829208244821
0.014 -3.842781941043767 -0.8458247884250092 0.04254957715357634 -0.008984153736350635 -3.885331518197344 -0.8368406346886585
0.016 -3.79074123496454 -0.9538521585842327 0.04256620577423625 -0.01026878855622638 -3.833307440738776 -0.9435833700280063
0.018 -3.733420787588365 -1.057217058065504 0.04258506907254017 -0.01155389775940795 -3.776005856660905 -1.045663160306097
0.02 -3.671350721905881 -1.15559550892598 0.04260617365097497 -0.01283954106233182 -3.713956895556856 -1.142755967863648
0.022 -3.605077128848685 -1.248734184892953 0.04262952690634929 -0.01412577832971039 -3.647706655755035 -1.234608406563242
0.024 -3.535151703612739 -1.336449041522803 0.04265513703513794 -0.0154126695912793 -3.577806840647876 -1.321036371931524
0.026 -3.46212225975055 -1.418622384174939 0.04268301304081067 -0.0167002750583945 -3.504805272791361 -1.401922109116544
0.028 -3.386524336148281 -1.49519865552388 0.04271316474021059 -0.01798865514114526 -3.429237500888492 -1.477210000382735
0.03 -3.308874034681983 -1.566179241597789 0.04274560277176435 -0.01927787046528965 -3.351619637453748 -1.546901371132499
0.032 -3.229662153671062 -1.631616593470927 0.04278033860374463 -0.02056798188948354 -3.272442492274807 -1.611048611581443
0.034 -3.149349618234475 -1.691607944283139 0.04281738454390416 -0.02185905052214011 -3.192167002778379 -1.669748893760999
0.036 -3.068364155860372 -1.746288872292039 0.04285675374847753 -0.02315113773944559 -3.111220909608849 -1.723137734552593
0.038 -2.987098125045891 -1.795826924288769 0.04289846023378054 -0.02444430520219133 -3.029996585279672 -1.771382619086577
0.04 -2.905907376727073 -1.840415473713028 0.04294251888673947 -0.02573861487375928 -2.948849895613812 -1.814676858839269
0.042 -2.825111011435557 -1.880267947350912 0.04298894547719218 -0.02703412903805847 -2.868099956912749 -1.853233818312853
0.044 -2.744991888183915 -1.915612516064877 0.0430377566708907 -0.02833091031700852 -2.788029644854805 -1.887281605747868
0.046 -2.665797742139933 -1.946687310310619 0.04308897004275997 -0.02962902168902131 -2.708886712182693 -1.917058288621598
0.048 -2.587742775285359 -1.97373619127778 0.04314260409133864 -0.03092852650729564 -2.630885379376697 -1.942807664770484
0.05 -2.511009595641944 -1.997005083822796 0.04319867825403519 -0.0322294885181964 -2.554208273895979 -1.964775595304599
0.052 -2.435751394660974 -2.016738857947199 0.043257212923159 -0.03353197187989263 -2.479008607584133 -1.983206886067306
0.054 -2.362094267659715 -2.033178731098416 0.04331822946260108 -0.03483604118141491 -2.405412497122316 -1.998342689917001
0.056 -2.29013959768236 -2.046560153505532 0.04338175022559489 -0.03614176146175536 -2.333521347907955 -2.010418392043777
0.058 -2.219966438078131 -2.057111132471989 0.04344779857366129 -0.0374491982288503 -2.263414236651793 -2.019661934243139
0.06 -2.151633842886983 -2.065050948356077 0.04351639889582281 -0.03875841747964046 -2.195150241782806 -2.026292530876436
0.062 -2.085183106472895 -2.070589214217007 0.04358757662915721 -0.04006948571966546 -2.128770683102052 -2.030519728497342
0.064 -2.020639884592951 -2.073925232196768 0.04366135828055599 -0.04138246998285286 -2.064301242873507 -2.032542762213915
0.066 -1.958016178201415 -2.075247602112723 0.04373777144902855 -0.04269743785227235 -2.001753949650444 -2.032550164260451
0.068 -1.89731216881895 -2.074734041010272 0.04381684484931275 -0.04401445748039678 -1.941129013668262 -2.030719583529875
0.07 -1.838517900370288 -2.072551376217486 0.04389860833661154 -0.04533359761005611 -1.882416508706899 -2.02721777860743
0.072 -1.781614807158132 -2.068855678464976 0.04398309293225625 -0.04665492759562361 -1.825597900090388 -2.022200750869353
0.074 -1.726577091265611 -2.063792505679914 0.04407033085071263 -0.04797851742440712 -1.770647422116324 -2.015813988255507
0.076 -1.673372955336307 -2.057497231979256 0.04416035552765299 -0.04930443773831908 -1.71753331086396 -2.008192794240937
0.078 -1.621965698530132 -2.050095440071377 0.04425320164936723 -0.05063275985597745 -1.666218900179499 -1.999462680215399
0.08 -1.572314684647255 -2.041703358663612 0.04434890518337631 -0.05196355579514279 -1.616663589830631 -1.989739802868469
0.082 -1.524376192082474 -2.032428329532362 0.04444750341030654 -0.05329689829531527 -1.568823695492781 -1.979131431237046
0.084 -1.478104155535432 -2.022369291631499 0.04454903495747253 -0.05463286084066814 -1.522653190492905 -1.96773643079083
0.086 -1.433450809357791 -2.011617271998174 0.0446535398333683 -0.0559715176837173 -1.478104349191159 -1.955645754314456
0.088 -1.390367242144342 -2.000255875276957 0.04476105946401781 -0.05731294386871557 -1.43512830160836 -1.942942931408241
0.09 -1.348803871743881 -1.988361765451777 0.0448716367308017 -0.0586572152560633 -1.393675508474682 -1.929704550195714
0.092 -1.308710849326416 -1.976005134868336 0.04498531600973783 -0.06000440854639488 -1.353696165336154 -1.916000726321941
0.094 -1.270038400539925 -1.963250156886185 0.04510214321250317 -0.0613546013057512 -1.315140543752428 -1.901895555580434
0.096 -1.232737111155434 -1.950155419537112 0.04522216582919947 -0.06270787199057655 -1.277959276984634 -1.887447547546536
0.098 -1.196758163957573 -1.936774338422361 0.04534543297282401 -0.06406429997345484 -1.242103596930397 -1.872710038448906
0.1 -1.162053533006622 -1.923155547772521 0.04547199542574761 -0.06542396556887541 -1.20752552843237 -1.857731582203645
0.102 -1.128576140791812 -1.909343269151047 0.04560190568781452 -0.06678695005994066 -1.174178046479627 -1.842556319091106
0.104 -1.096279983219788 -1.895377657719485 0.04573521802683558 -0.0681533357248882 -1.142015201246623 -1.827224321994597
0.106 -1.065120226846603 -1.881295126326046 0.04587198853082847 -0.0695232058643892 -1.110992215377431 -1.811771920461656
0.108 -1.035053282263833 -1.867128647937986 0.04601227516271768 -0.0708966448292567 -1.08106555742655 -1.79623200310873
0.11 -1.006036857095693 -1.852908037131474 0.04615613781704529 -0.07227373804837792 -1.052192994912739 -1.780634299083096
0.112 -0.9780299916494801 -1.838660211491104 0.04630363837917174 -0.07365457205711998 -1.024333630028652 -1.765005639433984
