# sector=11 Eg=892.8858603552436 eta=0.065 area=25.98076211353316 Kexp=4.779242292992208 source_norm2=32.62436867954273 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=100.0 V2=0.0 V3=0.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=3.654533872867244e-12 drude_weight=-2.864875821641294
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -10.27412967400981 -0 0.3849676468167767 -0 -10.65909732082659 -0
0.002 -10.26397735914097 -0.3377951167208184 0.385038053602544 -0.01013310402101793 -10.64901541274352 -0.3276620126998005
0.004 -10.23363443749066 -0.6737379179984631 0.3852493588998879 -0.02026814591289062 -10.61888379639055 -0.6534697720855724
0.006 -10.18343976419552 -1.006010900558252 0.3856018177083311 -0.03040706222866505 -10.56904158190386 -0.9756038383295866
0.008 -10.11394755321202 -1.332864821805814 0.3860958556227492 -0.04055178687230379 -10.50004340883477 -1.29231303493351
0.01 -10.02591213385431 -1.652649511818024 0.3867320697277338 -0.05070424972847948 -10.41264420358204 -1.601945262089545
0.012 -9.920267708229398 -1.963840948431145 0.3875112298553653 -0.06086637524626572 -10.30777893808476 -1.902974573184879
0.014 -9.798104100364784 -2.265063732148173 0.3884342802034867 -0.07104008094885292 -10.18653838056827 -2.19402365119932
0.016 -9.660639631558226 -2.555108376873134 0.3895023413255776 -0.08122727585558256 -10.0501419728838 -2.473881101017552
0.018 -9.509192318174403 -2.832943128832257 0.3907167124899909 -0.09142985880211695 -9.899909030664395 -2.74151327003014
0.02 -9.345150570009352 -3.097720314913595 0.3920788744214229 -0.1016497166272026 -9.737229444430774 -2.996070598286392
0.022 -9.169944479012594 -3.348777481781933 0.3935904924234498 -0.1118887222189644 -9.563534971436043 -3.236888759562969
0.024 -8.98501864435989 -3.585633802262018 0.3952534198959579 -0.1221487323829351 -9.380272064255848 -3.463485069879082
0.026 -8.791807298461661 -3.807982385811973 0.3970697022509154 -0.1324315855269435 -9.188877000712576 -3.67555080028503
0.028 -8.5917122978772 -4.015679231659432 0.3990415812388581 -0.1427390991171303 -8.990753879116058 -3.872940132542301
0.03 -8.386084340402967 -4.208729608480022 0.4011714996930991 -0.1530730668972229 -8.787255840096066 -4.055656541582799
0.032 -8.176207579043611 -4.387272639584466 0.4034621067045943 -0.1634352558315027 -8.579669685748206 -4.223837383752963
0.034 -7.963287635760125 -4.551564826830211 0.4059162632349191 -0.1738274027404966 -8.369203898995044 -4.377737424089715
0.036 -7.748442879454733 -4.701963170525524 0.4085370481837979 -0.1842512106026452 -8.156979927638531 -4.517711959922878
0.038 -7.532698726611194 -4.838908447222805 0.4113277649203519 -0.194708344481287 -7.944026491531546 -4.644200102741518
0.04 -7.316984649217934 -4.96290910242393 0.4142919482914773 -0.2052004270335228 -7.731276597509411 -4.757708675390408
0.042 -7.102133530615123 -5.074526109188234 0.4174333721219499 -0.21572903357351 -7.519566902737073 -4.858797075614724
0.044 -6.888882991717708 -5.17435904282603 0.4207560572179086 -0.2262956866234587 -7.309639048935616 -4.948063356202571
0.046 -6.677878312838017 -5.26303353092849 0.4242642798906264 -0.2369018499205277 -7.102142592728644 -5.026131681007962
0.048 -6.469676595049139 -5.341190159520433 0.4279625810103388 -0.2475489218149733 -6.897639176059477 -5.09364123770546
0.05 -6.264751834873097 -5.409474851451929 0.4318557756090333 -0.2582382280041358 -6.696607610482131 -5.151236623447793
0.052 -6.063500622829409 -5.468530682231066 0.4359489630404618 -0.2689710135351708 -6.49944958586987 -5.199559668695895
0.054 -5.866248216451657 -5.518991060544481 0.4402475377133527 -0.2797484340073973 -6.30649575416501 -5.239242626537084
0.056 -5.673254779007793 -5.561474174320173 0.4447572004097224 -0.2905715458989291 -6.118011979417515 -5.270902628421243
0.058 -5.4847216142663 -5.596578586681898 0.4494839701970457 -0.3014412959299889 -5.934205584463346 -5.295137290751909
0.06 -5.300797263820739 -5.62487985777792 0.4544341969450538 -0.3123585093787262 -5.755231460765793 -5.312521348399193
0.062 -5.121583365873771 -5.646928066471949 0.4596145744524563 -0.3233238772377009 -5.581197940326228 -5.323604189234248
0.064 -4.947140202560744 -5.663246108757382 0.4650321541863215 -0.3343379421141179 -5.412172356747066 -5.328908166643264
0.066 -4.77749188677649 -5.674328656033861 0.4706943596391172 -0.3454010827503211 -5.248186246415607 -5.32892757328354
0.068 -4.612631159233543 -5.680641664968282 0.4766090012922026 -0.3565134970336551 -5.089240160525746 -5.324128167934627
0.07 -4.452523782391093 -5.682622340594961 0.4827842921834089 -0.3676751833608833 -4.935308074574501 -5.314947157234078
0.072 -4.297112530405294 -5.68067946482709 0.4892288640566404 -0.3788859201923324 -4.786341394461934 -5.301793544634758
0.074 -4.146320783751142 -5.675194013172055 0.4959517840761259 -0.3901452436456265 -4.642272567827268 -5.285048769526428
0.076 -4.000055744151264 -5.666519992661579 0.5029625720663479 -0.4014524229302178 -4.503018316217612 -5.265067569731361
0.078 -3.858211290296097 -5.654985443679243 0.5102712182393897 -0.412806433436659 -4.368482508535487 -5.242179010242585
0.08 -3.720670497987148 -5.640893557224286 0.5178882013533063 -0.424205927266803 -4.238558699340454 -5.216687629957483
0.082 -3.587307850114806 -5.624523867141319 0.5258245072230637 -0.435649200961238 -4.11313235733787 -5.188874666180081
0.084 -3.457991162572877 -5.606133483983044 0.5340916475053369 -0.4471341601896596 -3.992082810078214 -5.158999323793384
0.086 -3.332583252130457 -5.585958343371489 0.542701678640761 -0.4586582811203389 -3.875284930771218 -5.12730006225115
0.088 -3.210943371586154 -5.56421444712414 0.5516672208185862 -0.4702185681761841 -3.76261059240474 -5.093995878947956
0.09 -3.092928436416146 -5.541099080032452 0.5610014768083846 -0.4818115078754109 -3.65392991322453 -5.059287572157041
0.092 -2.978394065763376 -5.516791989043214 0.5707182504547921 -0.4934330183959605 -3.549112316218168 -5.023358970647253
0.094 -2.867195459053733 -5.491456514902886 0.5808319646115561 -0.5050783945253912 -3.448027423665289 -4.986378120377495
0.096 -2.759188127921353 -5.465240668982215 0.5913576782308929 -0.516742247588129 -3.350545806152246 -4.948498421394086
0.098 -2.654228501478277 -5.43827815025158 0.6023111022886127 -0.5284184399568831 -3.25653960376689 -4.909859710294697
0.1 -2.552174421381761 -5.410689299135863 0.6137086141537277 -0.5401000136966502 -3.165883035535489 -4.870589285439213
0.102 -2.45288554161793 -5.382581986438466 0.6255672699544492 -0.5517791128941176 -3.078452811572379 -4.830802873544348
0.104 -2.35622364648859 -5.354052436639175 0.6379048144177543 -0.5634468991890232 -2.994128460906345 -4.790605537450151
0.106 -2.262052898978309 -5.325185985749383 0.6507396875615225 -0.5750934600075037 -2.912792586539832 -4.750092525741879
0.108 -2.170240030459632 -5.296057774583119 0.6640910275359831 -0.5867077089904049 -2.834331057995615 -4.709350065592714
0.11 -2.080654481629022 -5.266733378786572 0.6779786687839842 -0.5982772780876389 -2.758633150413007 -4.668456100698934
