# sector_k  q  N_proj(q)  [proj ED RectLat4x6 Np=4 V1=1.0 t3=0.2]
0  0  0.00000000
0  1  0.10932423
0  2  0.16401361
0  3  0.10948809
0  4  0.11201769
0  5  0.09810377
0  6  0.17571762
0  7  0.11483192
0  8  0.11223049
0  9  0.11503091
0  10  0.17564766
0  11  0.09814674
1  0  0.00000000
1  1  0.13532069
1  2  0.10984834
1  3  0.14219016
1  4  0.11424786
1  5  0.10181489
1  6  0.10951786
1  7  0.12074878
1  8  0.12380653
1  9  0.12992764
1  10  0.10741706
1  11  0.10418899
2  0  0.00000000
2  1  0.07327418
2  2  0.16386236
2  3  0.07137473
2  4  0.28428070
2  5  0.09286432
2  6  0.18972814
2  7  0.08503908
2  8  0.28310709
2  9  0.08442936
2  10  0.19222624
2  11  0.09352750
3  0  0.00000000
3  1  0.11071781
3  2  0.13671355
3  3  0.10714995
3  4  0.11321533
3  5  0.08054220
3  6  0.15666775
3  7  0.10735624
3  8  0.11394327
3  9  0.11005910
3  10  0.16518611
3  11  0.08442139
4  0  0.00000000
4  1  0.10495844
4  2  0.07243136
4  3  0.10306460
4  4  0.12129907
4  5  0.11275632
4  6  0.07366801
4  7  0.12766804
4  8  0.12138102
4  9  0.12870321
4  10  0.07779237
4  11  0.11454200
5  0  0.00000000
5  1  0.10022435
5  2  0.10833339
5  3  0.10653157
5  4  0.14048239
5  5  0.11130818
5  6  0.15436755
5  7  0.12188598
5  8  0.14437887
5  9  0.12390988
5  10  0.14607181
5  11  0.10910556
6  0  0.00000000
6  1  0.06399373
6  2  0.16020096
6  3  0.06645201
6  4  0.27498906
6  5  0.08571670
6  6  0.15420339
6  7  0.09030633
6  8  0.27882762
6  9  0.09413949
6  10  0.15399691
6  11  0.08694162
7  0  0.00000000
7  1  0.13366465
7  2  0.12447798
7  3  0.13770488
7  4  0.11279294
7  5  0.07577994
7  6  0.09507211
7  7  0.12700749
7  8  0.11686197
7  9  0.13036822
7  10  0.09181051
7  11  0.07578171
8  0  0.00000000
8  1  0.11422893
8  2  0.16388315
8  3  0.11284909
8  4  0.11850500
8  5  0.08827619
8  6  0.17444039
8  7  0.11112084
8  8  0.11750191
8  9  0.11048037
8  10  0.17605870
8  11  0.08862276
9  0  0.00000000
9  1  0.11720885
9  2  0.10813529
9  3  0.11005657
9  4  0.13057509
9  5  0.14787989
9  6  0.10311742
9  7  0.13700831
9  8  0.12008584
9  9  0.12674681
9  10  0.10460399
9  11  0.14492575
10  0  0.00000000
10  1  0.08695372
10  2  0.12644800
10  3  0.08591445
10  4  0.27143964
10  5  0.09820977
10  6  0.13790691
10  7  0.10811055
10  8  0.26966200
10  9  0.10628684
10  10  0.13779218
10  11  0.09755286
11  0  0.00000000
11  1  0.12197450
11  2  0.10973650
11  3  0.12285021
11  4  0.12270631
11  5  0.08603287
11  6  0.10287246
11  7  0.12434113
11  8  0.12287778
11  9  0.12413722
11  10  0.10123853
11  11  0.08539519
