# k  E-E0  [30sites Np=12 V1=100.0 V2=0.0 V3=0.0 t'=0.2 multi-node]
5  0.0000000000
10  0.0000000000
0  0.0001245629
2  0.0213937117
13  0.0213937117
12  0.0213954265
3  0.0213954265
8  0.0213956827
7  0.0213956827
11  0.0286934145
4  0.0286934145
9  0.0287042088
6  0.0287042088
14  0.0287121891
1  0.0287121891
10  0.2157939408
5  0.2157939408
0  0.2170207261
11  0.2666192682
4  0.2666192682
9  0.2668840969
6  0.2668840969
1  0.2678021546
14  0.2678021546
7  0.5579238302
8  0.5579238302
3  0.5580920492
12  0.5580920492
2  0.5588065360
13  0.5588065360
8  1.0494410218
7  1.0494410218
12  1.0517608559
3  1.0517608559
2  1.0526981240
13  1.0526981240
6  1.3285787288
9  1.3285787288
11  1.3293111960
4  1.3293111960
14  1.3325487754
1  1.3325487754
7  1.4898316896
8  1.4898316896
12  1.4901988935
3  1.4901988935
13  1.4902322935
2  1.4902322935
0  1.5243909125
5  1.5245875474
10  1.5245875474
9  1.5807422276
6  1.5807422276
11  1.5841322793
4  1.5841322793
1  1.5859222913
14  1.5859222913
10  1.6023739290
5  1.6023739290
0  1.6132697416
6  1.6722749110
9  1.6722749110
2  1.6756097996
13  1.6756097996
12  1.6820404665
3  1.6820404665
1  1.6832976848
14  1.6832976848
7  1.6833367746
8  1.6833367746
11  1.6841399609
4  1.6841399609
5  1.7323187798
10  1.7323187798
0  1.7603959544
0  1.8444420547
1  1.9004873160
14  1.9004873160
2  1.9663405598
13  1.9663405598
5  1.9881742558
10  1.9881742558
4  1.9913328922
11  1.9913328922
12  1.9958060001
3  1.9958060001
8  2.0322243216
7  2.0322243216
0  2.0457727924
6  2.0473727407
9  2.0473727407
5  2.0490684688
10  2.0490684688
3  2.0829274618
12  2.0829274618
2  2.0884929757
13  2.0884929757
11  2.1624193445
4  2.1624193445
7  2.1682875115
8  2.1682875115
1  2.1751700174
14  2.1751700174
6  2.1926068027
9  2.1926068027
5  2.2476084799
10  2.2476084799
0  2.2482503934
8  2.2623203419
7  2.2623203419
6  2.3085486578
9  2.3085486579
4  2.4136880736
11  2.4136880736
3  2.4669700681
12  2.4669700681
1  2.4751840813
14  2.4751840813
2  2.5872173430
13  2.5872173430
