# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.019 -3.7278168599810475 -1.1241489174004542 -3.7278168599810395 -1.124148917400452 0.0642729532892333 -0.015691895059910737 0.06427295328925615 -0.015691895059904183
0.02 -3.695721870512961 -1.173479697134712 -3.6957218705129726 -1.1734796971347148 0.06439140162920279 -0.016521767244814998 0.06439140162920644 -0.01652176724481342
0.021 -3.662557068614171 -1.2214836062426069 -3.6625570686141407 -1.2214836062425973 0.06451620263690258 -0.017352241684567622 0.06451620263694761 -0.017352241684553592
0.022 -3.6283922877321335 -1.268135239668167 -3.628392287732126 -1.2681352396681649 0.06464739875279094 -0.018183345780962173 0.06464739875281324 -0.018183345780954884
0.023 -3.5932973977514933 -1.3134135056691834 -3.5932973977514786 -1.3134135056691778 0.06478503465437671 -0.01901510651018316 0.06478503465440597 -0.019015106510172457
0.024 -3.5573420119876986 -1.3573015205867385 -3.5573420119876955 -1.357301520586736 0.0649291572806844 -0.019847550395335353 0.06492915728070223 -0.01984755039532773
0.025 -3.5205952117009236 -1.3997864833081857 -3.5205952117009196 -1.399786483308185 0.0650798158573256 -0.02068070347808971 0.06507981585734392 -0.020680703478083658
0.026 -3.483125289363861 -1.4408595318038888 -3.4831252893638536 -1.4408595318038862 0.0652370619231234 -0.021514591289095285 0.06523706192314475 -0.02151459128908674
0.027 -3.4449995116147245 -1.4805155841442867 -3.4449995116147174 -1.4805155841442827 0.06540094935772409 -0.02234923881726993 0.06540094935774492 -0.02234923881726044
0.028 -3.4062839025344926 -1.518753166392564 -3.4062839025344958 -1.5187531663925655 0.06557153441050821 -0.023184670477794576 0.06557153441051872 -0.02318467047779024
0.029 -3.367043047612775 -1.55557422972434 -3.3670430476127744 -1.55557422972434 0.06574887573059442 -0.024020910078836975 0.0657488757306081 -0.024020910078830608
0.03 -3.327339918510556 -1.5909839590523762 -3.327339918510549 -1.5909839590523727 0.06593303439822636 -0.024857980786784625 0.06593303439824663 -0.02485798078677488
0.031 -3.287235718495094 -1.6249905753365692 -3.2872357184950762 -1.6249905753365619 0.06612407395718341 -0.02569590509009892 0.06612407395721384 -0.025695905090084795
0.032 -3.2467897482116697 -1.6576051336404154 -3.246789748211659 -1.6576051336404105 0.0663220604485532 -0.0265347047615365 0.0663220604485766 -0.02653470476152528
