# k  E-E0  [3x6 Np=6 V1=1.6 V2=0.0 V3=0.0 t'=0.22]
0  0.0000000000
5  0.0641988034
7  0.0641988034
0  0.1917850430
0  0.2611379241
8  0.4540362234
1  0.4540362234
2  0.4540362234
4  0.4540362234
4  0.6439423413
8  0.6439423413
2  0.6439423413
1  0.6439423413
5  0.7296310316
7  0.7296310316
6  0.7663297656
3  0.7663297656
1  0.8236591277
4  0.8236591277
8  0.8236591277
2  0.8236591277
6  0.8743933324
3  0.8743933324
7  0.8916111326
5  0.8916111326
0  1.0196173919
5  1.0402782235
7  1.0402782235
4  1.1341506186
1  1.1341506186
2  1.1341506186
8  1.1341506186
6  1.1376638070
3  1.1376638070
3  1.3055440015
6  1.3055440015
