# ik  N(k)  kx  ky  [30sites Np=5 V1=1.0 t'=0.2]
# 基态扇区 k=5  E0=-11.4816153
0  0.000000  0.000000  0.000000
1  0.165764  1.675516  0.725520
2  0.381401  3.351032  1.451039
3  0.192145  5.026548  2.176559
4  0.100199  6.702064  2.902079
5  0.280999  8.377580  3.627599
6  0.362228  10.053096  4.353118
7  0.224142  11.728613  5.078638
8  0.224142  13.404129  5.804158
9  0.362228  15.079645  6.529678
10  0.280999  16.755161  7.255197
11  0.100199  18.430677  7.980717
12  0.192145  20.106193  8.706237
13  0.381401  21.781709  9.431757
14  0.165764  23.457225  10.157276
