# sector=8 Eg=157.34545992183882 eta=0.065 area=25.98076211353316 Kexp=9.829092417809745 source_norm2=33.168380044633395 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=5.665046538835011e-13 drude_weight=-4.854992892580729
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -17.96656650703605 -0 0.09698840973229632 -0 -18.06355491676835 -0
0.002 -17.94947867241222 -0.55820626738917 0.09699082944313478 -0.002930282716697678 -18.04646950185535 -0.5552759846724723
0.004 -17.89840854179618 -1.113270331543595 0.09699808950452099 -0.005860692694321757 -17.9954066313007 -1.107409638849274
0.006 -17.81393078907175 -1.662108986317406 0.09701019270395597 -0.008791357230417464 -17.9109409817757 -1.653317629086988
0.008 -17.69698533552336 -2.201754708829766 0.0970271436900369 -0.01172240369580895 -17.7940124792134 -2.190032305133957
0.01 -17.54885151884907 -2.729407877698314 0.09704894897665113 -0.01465395957127898 -17.64590046782573 -2.714753918127035
0.012 -17.37111379100421 -3.242482658567912 0.09707561694870333 -0.01758615248429747 -17.46818940795291 -3.224896506083615
0.014 -17.16562062393215 -3.738645094018557 0.09710715786977098 -0.02051911024583685 -17.26272778180192 -3.71812598377272
0.016 -16.93443854584456 -4.215842408206854 0.09714358389127545 -0.02345296088726577 -17.03158212973583 -4.192389447319589
0.018 -16.67980333524232 -4.672323038812761 0.09718490906330804 -0.026387832697359 -16.77698824430562 -4.645935206115403
0.02 -16.40407036921398 -5.106647398432143 0.09723114934737878 -0.02932385425941703 -16.50130151856136 -5.077323544172726
0.022 -16.1096659728346 -5.517689808338377 0.09728232263074048 -0.03226115448857007 -16.20694829546534 -5.485428653849806
0.024 -15.79904137282512 -5.90463241217109 0.09733844874253018 -0.03519986266918942 -15.89637982156765 -5.869432549501901
0.026 -15.4746305511906 -6.266952148757448 0.09739954947176914 -0.03814010849249947 -15.57203010066237 -6.228812040264948
0.028 -15.13881295459654 -6.60440203577349 0.09746564858698513 -0.04108202209443329 -15.23627860318352 -6.563320013679057
