# sector=11 Eg=157.28712892598804 eta=0.065 area=25.98076211353316 Kexp=9.876713723015413 source_norm2=32.73388586859303 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=6.248945971711964e-13 drude_weight=-4.081592173268739
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -15.12400228466435 -0 0.06202702597809931 -0 -15.18602931064245 -0
0.002 -15.10963821696491 -0.4687211628130796 0.06202738659724934 -0.001900682703474694 -15.17166560356216 -0.4668204801096049
0.004 -15.06670858350919 -0.9348005903545357 0.06202846847486038 -0.003801387155517035 -15.12873705198405 -0.9309992031990186
0.006 -14.99569651487255 -1.395646146171459 0.06203027167154175 -0.005702135105850362 -15.05772678654409 -1.389944011065608
0.008 -14.89739220661788 -1.84876294866419 0.06203279628824866 -0.007602948306513107 -14.95942500290612 -1.841160000357677
0.01 -14.7728712031901 -2.291797270921716 0.06203604246640112 -0.009503848513022946 -14.8349072456565 -2.282293422408693
0.012 -14.62346556010069 -2.722575116652634 0.0620400103878375 -0.01140485748552202 -14.68550557048852 -2.711170259167112
0.014 -14.45072929598486 -3.139134242338197 0.06204470027489805 -0.01330599698994232 -14.51277399625975 -3.125828245348254
0.016 -14.25639975091341 -3.539748793612429 0.06205011239039615 -0.01520728879918426 -14.31844986330381 -3.524541504813245
0.018 -14.04235655521861 -3.922946146088322 0.0620562470377992 -0.01710875469424157 -14.1044128022564 -3.90583739139408
0.02 -13.81057988732308 -4.287515952429763 0.06206310456110974 -0.01901041646539656 -13.87264299188419 -4.268505535964366
0.022 -13.56310957319478 -4.63251176803456 0.06207068534511566 -0.02091229591336476 -13.6251802585399 -4.611599472121195
0.024 -13.30200637520541 -4.957245934242741 0.06207898981528648 -0.02281441485048445 -13.3640853650207 -4.934431519392257
0.026 -13.02931655970204 -5.261278626357871 0.06208801843801277 -0.02471679510185126 -13.09140457814005 -5.23656183125602
0.028 -12.74704054679899 -5.54440211879187 0.06209777172054644 -0.02661945850653048 -12.80913831851954 -5.51778266028534
0.03 -12.45710615709886 -5.806621384138727 0.0621082502112584 -0.02852242691867083 -12.51921440731012 -5.778098957220056
0.032 -12.16134669857042 -6.048132136027829 0.0621194544995748 -0.03042572220875652 -12.22346615306999 -6.017706413819072
0.034 -11.86148389771714 -6.269297360414477 0.06213138521621155 -0.03232936626472203 -11.92361528293335 -6.236967994149754
0.036 -11.55911548195578 -6.470623271756308 0.06214404303324343 -0.03423338099316019 -11.62125952498902 -6.436389890763148
0.038 -11.2557070690363 -6.652735494668515 0.06215742866424253 -0.0361377883205051 -11.31786449770054 -6.61659770634801
0.04 -10.95258791421101 -6.816356122240628 0.06217154286441428 -0.03804261019421051 -11.01475945707543 -6.778313512046418
0.042 -10.65095000319432 -6.962282151110925 0.06218638643071634 -0.03994786858397403 -10.71313638962504 -6.92233428252695
0.044 -10.35184995303674 -7.091365649829142 0.06220196020207847 -0.04185358548286478 -10.41405191323882 -7.049512064346278
0.046 -10.05621318699294 -7.204495887438005 0.06221826505947633 -0.0437597829086039 -10.11843145205242 -7.160736104529401
0.048 -9.764839876120124 -7.302583537461976 0.06223530192618638 -0.04566648290469875 -9.827075178046311 -7.256917054557277
0.05 -9.478412182873676 -7.386546980342902 0.0622530717678668 -0.04757370754171446 -9.540665254641542 -7.338973272801187
0.052 -9.197502394311096 -7.457300654841571 0.0622715755928407 -0.04948147891842242 -9.259773969903936 -7.407819175923149
0.054 -8.922581589617838 -7.515745354852048 0.06229081445223308 -0.05138981916306622 -8.984872404070071 -7.464355535688981
0.056 -8.654028544544914 -7.562760330483261 0.06231078944019244 -0.05329875043455446 -8.716339333985108 -7.509461580048707
0.058 -8.392138631059145 -7.599197028765065 0.06233150169409731 -0.05520829492370832 -8.454470132753244 -7.543988733841357
0.06 -8.137132522041581 -7.625874297411124 0.06235295239476089 -0.05711847485450097 -8.199485474436342 -7.568755822556623
0.062 -7.889164557005796 -7.643574872268258 0.06237514276671327 -0.0590293124852494 -7.95153969977251 -7.584545559783009
0.064 -7.648330664951118 -7.653042973154351 0.06239807407837122 -0.06094083010993152 -7.710728739029489 -7.59210214304442
0.066 -7.414675774495445 -7.654982841768513 0.06242174764234497 -0.06285305005937303 -7.47709752213779 -7.59212979170914
0.068 -7.188200669568385 -7.650058067596621 0.06244616481565459 -0.06476599470254865 -7.25064683438404 -7.585292072894073
0.07 -6.968868271626205 -7.638891561891456 0.06247132700002617 -0.0666796864478207 -7.031339598626231 -7.572211875443635
0.072 -6.756609347147134 -7.622066054833888 0.06249723564215171 -0.06859414774421856 -6.819106582789286 -7.553471907089669
0.074 -6.551327652706184 -7.600125006091528 0.06252389223396394 -0.07050940108274459 -6.613851544940148 -7.529615605008783
0.076 -6.352904539849643 -7.573573833618499 0.06255129831297913 -0.07242546899758864 -6.415455838162622 -7.501148364620911
0.078 -6.161203048899127 -7.542881379301505 0.06257945546253672 -0.07434237406750986 -6.223782504361663 -7.468539005233995
0.08 -5.976071525272721 -7.508481542713867 0.06260836531216078 -0.07626013891708933 -6.038679890584882 -7.432221403796778
0.082 -5.797346794415381 -7.470775025666764 0.06263802953789116 -0.0781787862180212 -5.859984823953272 -7.392596239448743
0.084 -5.624856932414204 -7.430131140402011 0.06266844986257819 -0.08009833869047758 -5.687525382276782 -7.350032801711533
0.086 -5.458423669204256 -7.386889643172185 0.0626996280562527 -0.08201881910443519 -5.521123297260509 -7.304870824067749
0.088 -5.297864460253181 -7.341362562660834 0.06273156593650839 -0.08394025028094679 -5.36059602618969 -7.257422312379886
0.09 -5.142994260997453 -7.293835999293025 0.06276426536882526 -0.08586265509356386 -5.205758526366278 -7.207973344199461
0.092 -4.993627036290066 -7.244571877073457 0.06279772826698166 -0.08778605646963597 -5.056424764557048 -7.156785820603822
0.094 -4.849577034866986 -7.19380963427292 0.06283195659342239 -0.08971047739171571 -4.912408991460408 -7.104099156881205
0.096 -4.710659856468867 -7.141767843168756 0.06286695235967053 -0.09163594089891579 -4.773526808828538 -7.050131902269841
0.098 -4.576693336857617 -7.088645752233936 0.06290271762675491 -0.09356247008826851 -4.639596054484372 -6.995083282145668
0.1 -4.447498273611393 -7.034624746757705 0.06293925450561084 -0.09549008811616223 -4.510437528117003 -6.939134658641543
0.102 -4.322899013314299 -6.97986972595552 0.06297656515752971 -0.09741881819972847 -4.385875578471828 -6.882450907755792
0.104 -4.202723918610575 -6.924530396266546 0.06301465179460917 -0.09934868361825112 -4.265738570405184 -6.825181712648295
0.106 -4.086805731587328 -6.868742481812451 0.06305351668020945 -0.1012797077146225 -4.149859248267537 -6.767462774097829
0.108 -3.974981848095528 -6.812628853962831 0.06309316212943103 -0.1032119138967458 -4.038075010224959 -6.709416940066085
0.11 -3.867094515920065 -6.756300582673838 0.06313359050960551 -0.1051453256390115 -3.93022810642967 -6.651155257034827
0.112 -3.762990968164509 -6.699857912782125 0.06317480424078611 -0.107079966483772 -3.826165772405295 -6.592777946298353
0.114 -3.66252350182026 -6.643391168785633 0.06321680579627573 -0.1090158600427847 -3.725740307616536 -6.534375308742848
0.116 -3.565549510235577 -6.586981591858591 0.0632595977031349 -0.1109530299987351 -3.628809107938712 -6.476028561859856
0.118 -3.471931477078416 -6.530702112957447 0.0633031825427415 -0.1128915001067313 -3.535234659621158 -6.417810612850715
0.12 -3.381536938389031 -6.474618065901102 0.06334756295133849 -0.1148312941958049 -3.444884501340369 -6.359786771705297
0.122 -3.294238418433007 -6.418787844271085 0.06339274162060013 -0.11677243617047 -3.357631160053607 -6.302015408100615
0.124 -3.209913344283348 -6.363263505890935 0.06343872129822319 -0.1187149500122458 -3.273352065581571 -6.24454855587869
0.126 -3.128443943371488 -6.308091328522174 0.06348550478852243 -0.1206588597812299 -3.191929448160011 -6.187432468740944
0.128 -3.049717127642148 -6.253312320266665 0.06353309495304675 -0.1226041896176663 -3.113250222595195 -6.130708130648999
0.13 -2.973624367417286 -6.198962688000537 0.06358149471120525 -0.1245509637435553 -3.037205862128491 -6.074411724256982
0.132 -2.90006155761169 -6.145074266989533 0.06363070704092076 -0.1264992064642307 -2.963692264652611 -6.018575060525302
0.134 -2.828928878539685 -6.091674914655275 0.06368073497928962 -0.1284489421700045 -2.892609613518974 -5.963225972485271
