# 15 态等权光电导统计量；eta=0.065 M=600
# omega mean_Re_total mean_Im_total mean_Re_regular mean_Im_regular mean_Re_drude mean_Im_drude std_Re_total std_Im_total std_Re_regular std_Im_regular std_Re_drude std_Im_drude min_Re_total min_Im_total min_Re_regular min_Im_regular min_Re_drude min_Im_drude max_Re_total max_Im_total max_Re_regular max_Im_regular max_Re_drude max_Im_drude
0 -16.21682331562508 0 0.07949131101997438 0 -16.29631462664506 0 1.802144760977322 0 0.01241311388385094 0 1.808786744178236 0 -18.08840982960695 -0 0.06202702597809931 -0 -18.18766879093807 -0 -12.46261309623207 -0 0.09925896133111993 -0 -12.54199219374981 -0
0.002 -16.20140804735401 -0.5033655602126725 0.07949270875272604 -0.002414767717080596 -16.28090075610674 -0.5009507924955919 1.800433735096376 0.05580340257953834 0.01241412270179609 0.0003593299342044056 1.807075903086558 0.0556023354795864 -18.07120360073665 -0.5620682233421253 0.06202738659724934 -0.002976962329604742 -18.17046598290692 -0.5590912610125205 -12.45074799713734 -0.3879346782031217 0.09926238217026638 -0.001900682703474694 -12.53012934939535 -0.3855424415198569
0.004 -16.1553366975467 -1.003896292881071 0.07949690244749698 -0.004829609804504765 -16.2348335999942 -0.9990666830765659 1.795320020826255 0.111292163788118 0.01241714980443834 0.000718708506903166 1.801962743257027 0.1108900149696632 -18.01977961521825 -1.120972693976162 0.06202846847486038 -0.005954093258430301 -18.11905226166313 -1.115018600717731 -12.41528696372055 -0.7736876751512293 0.0992726464448847 -0.003801387155516669 -12.49467508101696 -0.7689030819087361
0.006 -16.07912771813425 -1.498810595580076 0.07950389359430757 -0.007244600651285836 -16.15863161172856 -1.49156599492879 1.786861162963965 0.1661575499095656 0.01242219713881165 0.001078184377536439 1.79350480970501 0.1655542901266165 -17.93471649302693 -1.673609061669482 0.06203027167154175 -0.008931561442810803 -18.03400625245561 -1.664677500226672 -12.3566290063672 -1.155118272799176 0.09928975942867754 -0.005702135105850362 -12.4360284014534 -1.147941083211083
0.008 -15.97362907530682 -1.985431231297309 0.07951368467811742 -0.009659814683778585 -16.05314275998494 -1.975771416613531 1.775151280247654 0.2201024111349744 0.01242926795204393 0.001437806247454374 1.781796221532538 0.2192979964963122 -17.81696060948857 -2.216989454349499 0.06203279628824866 -0.01190953565334707 -17.91627433940623 -2.205079918696152 -12.27542673581042 -1.530166074995238 0.09931372991766609 -0.007602948306512479 -12.35484192552878 -1.52059592929585
0.01 -15.83999494569177 -2.461232437903301 0.07952627918115271 -0.01207532638439042 -15.91952122487292 -2.449157111518911 1.760318478781734 0.272846410419566 0.01243836679442457 0.001797622880890594 1.766965085353308 0.2718407823620472 -17.66780008680335 -2.748295055146484 0.06203604246640112 -0.01488818483209168 -17.76714465704354 -2.733406870314392 -12.17256842800986 -1.896887263956787 0.09934457024019644 -0.009503848513022946 -12.25200393493478 -1.884923682297659
0.012 -15.6796547701362 -2.923881324474406 0.07954168158625623 -0.01449121031026017 -15.75919645172245 -2.909390114164146 1.742521417205049 0.3241306182167519 0.01244949952373469 0.002157683125963159 1.749170060460757 0.3229237034696785 -17.48883025619282 -3.264922303219931 0.0620400103878375 -0.01786767814973355 -17.58821255246357 -3.247054625070198 -12.04915420727914 -2.253486459785706 0.09938229627075508 -0.01140485748552202 -12.12861456136254 -2.2391288420977
0.014 -15.4942761798809 -3.371272234676163 0.07955989738112132 -0.01690754111203597 -15.57383607726202 -3.354364693564127 1.72194519173386 0.3737213266008835 0.01246267331084559 0.002518035935717376 1.728596243870857 0.3723130371414149 -17.28191228126352 -3.764521245400788 0.06204470027489805 -0.02084818506293629 -17.38133920871146 -3.743673060337851 -11.90646751347384 -2.59834316728323 0.09942692744793762 -0.01330599698994232 -11.98595725369666 -2.581590793103896
0.016 -15.28572352968481 -3.801553184383016 0.07958093306354416 -0.01932439355265105 -15.36530446274836 -3.782228790830365 1.698796733604517 0.4214129836809402 0.01247789664655595 0.002878730389205977 1.705450567764573 0.4198032166805102 -17.04912687845991 -4.245025042204034 0.06205011239039615 -0.02382987537172167 -17.14860536525627 -4.221195166832312 -11.74594318819426 -2.930032122927605 0.09947848679635844 -0.01520728879918426 -11.82546686422516 -2.910884151193885
0.018 -15.05601386676189 -4.213143933793384 0.07960479614762789 -0.02174184252613248 -15.13561866290952 -4.191402091267252 1.673299921907931 0.4670301994967182 0.01249517934967895 0.003239815712629602 1.679956912322059 0.4652188372584165 -16.79272517572641 -4.704670137434212 0.0620562470377992 -0.02681291927691565 -16.89226217667913 -4.677857218157296 -11.56913358753392 -3.247337203580644 0.09953700095272124 -0.0171087546942407 -11.64869576139656 -3.225792672386739
0.02 -14.80727213673725 -4.604745695971324 0.07963149517094371 -0.02415996307649408 -14.88690363190819 -4.580585732894829 1.645690611738153 0.5104288236118802 0.01251453257649909 0.003601341300530287 1.65235113387093 0.5084157334987478 -16.51507871963399 -5.14200709353932 0.06206310456110974 -0.02979748743780753 -16.61468121982991 -5.112209606101512 -11.37767410762117 -3.549258898409355 0.09960250019591828 -0.01901041646539656 -11.45727935537145 -3.525316724729676
0.022 -14.54168729276179 -4.975342881404679 0.07966103970272062 -0.02657883041668831 -14.62134833246451 -4.948764050987988 1.616211762586004 0.5514961387557911 0.01253596883142833 0.00396335673707248 1.622876193279476 0.5492811731099765 -16.21863049048289 -5.555902538679345 0.06207068534511566 -0.0327837510298571 -16.3183055089644 -5.523118787649488 -11.17324940525039 -3.835015651555743 0.09967501848150542 -0.02091229591336476 -11.25290231866489 -3.80867463093273
0.024 -14.26147075410132 -5.324197607130728 0.07969344035304206 -0.02899851994757933 -14.34116419445436 -5.29519908718315 1.585108827509492 0.5901502513786636 0.01255950197909166 0.004325911817373121 1.591777545126653 0.5877332474313789 -15.90584853955731 -5.945533038616425 0.06207898981528648 -0.03577188180255533 -16.00560313303756 -5.90976115681387 -10.95756142671824 -4.1040396362631 0.09975459348025856 -0.02281441485048445 -11.0372666149954 -4.075298442459842
0.026 -13.96881838315238 -5.650837944051211 0.07972870878302282 -0.03141910727705041 -14.0485470919354 -5.61941883677416 1.552625532827315 0.6263387871858079 0.01258514725768648 0.004689056568950889 1.559298917395031 0.6237195669580127 -15.57918355315314 -6.310371980047219 0.06208801843801277 -0.03876205213753944 -15.6790248197742 -6.27160992790968 -10.73230014451584 -4.355967709779075 0.09984126662105641 -0.02471679510185126 -10.81206223599122 -4.324824894396486
