# sector=14 Eg=157.37750304281428 eta=0.065 area=25.98076211353316 Kexp=9.83036090451866 source_norm2=33.32371453603999 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=6.110794220198752e-13 drude_weight=-4.775411743879216
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -17.68890288330161 -0 0.07856129106708469 -0 -17.76746417436869 -0
0.002 -17.67209673100087 -0.5485739834535532 0.07856208590803045 -0.002399866010202473 -17.7506588169089 -0.5461741174433508
0.004 -17.62186847844978 -1.094057190510204 0.07856447054991925 -0.004799778264068517 -17.7004329489997 -1.089257412246135
0.006 -17.53878338208679 -1.633416874774718 0.07856844534989761 -0.00719978301133089 -17.61735182743669 -1.626217091763387
0.008 -17.42376596035032 -2.163734076822001 0.07857401090352328 -0.009599926513836237 -17.50233997125384 -2.154134150308165
0.01 -17.27807458610728 -2.682254986459667 0.07858116804479297 -0.0120002550516549 -17.35665575415208 -2.670254731408012
0.012 -17.10326774676931 -3.186436076088993 0.07858991784678536 -0.01440081492909834 -17.1818576646161 -3.172035261159895
0.014 -16.90116362363199 -3.673981566227863 0.07860026162196079 -0.01680165248085777 -16.97976388525396 -3.657179913747005
0.016 -16.67379488158277 -4.14287224977178 0.07861220092285992 -0.0192028140780868 -16.75240708250563 -4.123669435693693
0.018 -16.42336066314036 -4.591385195554444 0.07862573754280315 -0.0216043461344888 -16.50198640068317 -4.569780849419955
0.02 -16.15217775063634 -5.018104333313392 0.07864087351668037 -0.02400629511246089 -16.23081862415302 -4.994098038200931
0.022 -15.8626327130887 -5.421922355723617 0.07865761112191036 -0.02640870752925801 -15.94129032421061 -5.395513648194359
0.024 -15.55713661464969 -5.802034731820052 0.07867595287952402 -0.02881162996311336 -15.63581256752921 -5.773223101856939
0.026 -15.23808355910741 -6.157926893324533 0.07869590155525691 -0.0312151090594655 -15.31677946066267 -6.126711784265067
0.028 -14.90781401053337 -6.489355825066983 0.07871746016092926 -0.03361919153713224 -14.9865314706943 -6.455736633529851
0.03 -14.56858349227998 -6.796327366149525 0.07874063195568042 -0.03602392419460685 -14.64732412423566 -6.760303441954918
0.032 -14.22253694890036 -7.079070520364523 0.07876542044765626 -0.03842935391626871 -14.30130236934802 -7.040641166448254
0.034 -13.87168877582797 -7.338009998103319 0.07879182939554862 -0.04083552767870979 -13.95048060522352 -7.297174470424609
0.036 -13.51790829091325 -7.573738085388601 0.07881986281030372 -0.0432424925570948 -13.59672815372355 -7.530495592831506
0.038 -13.1629102451448 -7.78698677671413 0.07884952495711807 -0.04565029573147431 -13.24175977010191 -7.741336480982656
0.04 -12.80824984688869 -7.978600933567719 0.07888082035727143 -0.04805898449328051 -12.88713066724596 -7.930541949074438
0.042 -12.4553217006607 -8.149513053743179 0.07891375379041822 -0.05046860625168929 -12.53423545445112 -8.09904444749149
0.044 -12.10536203112318 -8.300720068578251 0.07894833029667742 -0.05287920854019475 -12.18431036141986 -8.247840860038057
0.046 -11.75945356762611 -8.433262433623719 0.07898455517908473 -0.05529083902312024 -11.83843812280519 -8.377971594600599
0.048 -11.41853249580058 -8.548205647513305 0.07902243400608225 -0.05770354550222585 -11.49755492980667 -8.490502102011078
0.05 -11.08339693247248 -8.646624225989978 0.07906197261417415 -0.0601173759233208 -11.16245890508665 -8.586506850066657
0.052 -10.75471644140687 -8.72958807319702 0.07910317711063168 -0.06253237838302225 -10.8338196185175 -8.667055694813998
0.054 -10.43304217420191 -8.798151129077512 0.07914605387647179 -0.06494860113547142 -10.51218822807838 -8.733202527942041
0.056 -10.11881728836666 -8.85334212774413 0.07919060956945204 -0.06736609259917131 -10.19800789793611 -8.785976035144959
0.058 -9.812387359797427 -8.896157274188996 0.07923685112729852 -0.0697849013638559 -9.891624210924725 -8.826372372825139
0.06 -9.514010567162888 -8.927554632751814 0.07928478577100806 -0.07220507619744795 -9.593295352933897 -8.855349556554366
0.062 -9.223867479686636 -8.948450017485202 0.07933442100833916 -0.07462666605307347 -9.303201900694974 -8.873823351432128
0.064 -8.942070326782757 -8.959714179320663 0.0793857646374742 -0.0770497200761297 -9.02145609142023 -8.882664459244534
0.066 -8.668671667815104 -8.962171095447582 0.07943882475076708 -0.07947428761146746 -8.748110492565871 -8.882696807836114
0.068 -8.403672413168691 -8.956597180636814 0.07949360973872727 -0.08190041821059252 -8.483166022907417 -8.874696762426222
0.07 -8.147029174358835 -8.943721256803718 0.07955012829406666 -0.08432816163905399 -8.226579302652901 -8.859393095164664
0.072 -7.898660941725177 -8.924225134686342 0.07960838941604508 -0.08675756788375938 -7.978269331141221 -8.837467566802582
0.074 -7.658455104100702 -8.898744679193623 0.07966840241488697 -0.0891886871604899 -7.738123506515589 -8.809555992033133
0.076 -7.426272836453073 -8.867871247091912 0.07973017691636389 -0.09162156992149567 -7.506003013369437 -8.776249677170417
0.078 -7.201953889579539 -8.832153401798532 0.07979372286664924 -0.09405626686310774 -7.281747612446188 -8.738097134935424
0.08 -6.985320821152913 -8.792098824859893 0.07985905053722661 -0.09649282893356716 -7.065179871690139 -8.695605995926327
0.082 -6.776182710345579 -8.748176357060911 0.0799261705300929 -0.09893130734083322 -6.856108880875672 -8.649245049720077
0.084 -6.574338399409671 -8.700818113994282 0.07999509378310787 -0.1013717535605396 -6.654333493192778 -8.599446360433744
0.086 -6.379579305392693 -8.650421631332815 0.08006583157553163 -0.1038142193440868 -6.459645136968224 -8.546607411988727
0.088 -6.191691843977279 -8.597352004064847 0.08013839553377161 -0.1062587567268107 -6.271830239511051 -8.491093247338036
0.09 -6.010459505543796 -8.541943991671689 0.08021279763735806 -0.1087054180362438 -6.090672303181154 -8.433238573635444
0.092 -5.835664621199591 -8.484504067763169 0.0802890502250873 -0.1111542559005479 -5.915953671424679 -8.373349811862621
0.094 -5.667089853882771 -8.425312398166477 0.08036716600144561 -0.1136053232569954 -5.747457019884217 -8.311707074909481
0.096 -5.504519446875182 -8.364624736009318 0.08044715804318264 -0.1160586733606569 -5.584966604918365 -8.248566062648662
0.098 -5.347740259254326 -8.302674226068978 0.08052903980617916 -0.1185143597931391 -5.428269299060505 -8.18415986627584
0.1 -5.196542615057821 -8.239673113687411 0.08061282513252856 -0.1209724364714884 -5.27715544019035 -8.118700677215923
0.102 -5.050720990281197 -8.17581435598005 0.08069852825785272 -0.1234329576572357 -5.131419518539049 -8.052381398322813
0.104 -4.910074559318388 -8.111273134985195 0.08078616381888537 -0.1258959779655568 -4.990860723137273 -7.985377157019638
0.106 -4.77440762010769 -8.04620827389328 0.08087574686131285 -0.1283615523745989 -4.855283366969003 -7.917846721518681
0.108 -4.643529915076344 -7.980763558632088 0.08096729284786287 -0.1308297362349424 -4.724497207924207 -7.849933822397145
0.11 -4.517256862989199 -7.915068967927646 0.08106081766671119 -0.1333005852791828 -4.59831768065591 -7.781768382648464
0.112 -4.395409714999142 -7.849241815564014 0.08115633764011801 -0.1357741556317516 -4.47656605263926 -7.713467659932262
0.114 -4.277815646563681 -7.783387808973683 0.08125386953339354 -0.1382505038188129 -4.359069516097075 -7.64513730515487
0.116 -4.164307795424628 -7.717602028542943 0.08135343056415743 -0.1407296867783396 -4.245661225988786 -7.576872341764604
0.118 -4.054725254535787 -7.651969832144688 0.081455038411909 -0.1432117618704087 -4.136180292947697 -7.508758070274279
0.12 -3.948913027655727 -7.586567689442017 0.08155871122791059 -0.1456967868876108 -4.030471738883637 -7.440870902554406
0.122 -3.846721954287066 -7.521463950462004 0.08166446764541248 -0.1481848200656606 -3.928386421932478 -7.373279130396344
0.124 -3.748008609728736 -7.456719552838048 0.08177232679020384 -0.1506759200942245 -3.82978093651894 -7.306043632743823
0.126 -3.652635185201699 -7.392388671976311 0.08188230829154718 -0.1531701461278635 -3.734517493493247 -7.239218525848447
0.128 -3.560469352301032 -7.328519318229425 0.08199443229345239 -0.1556675577972094 -3.642463784594484 -7.172851760432216
0.13 -3.471384115407417 -7.265153884967857 0.08210871946632141 -0.1581682152203792 -3.553492834873739 -7.106985669747478
0.132 -3.385257655149766 -7.202329651234186 0.08222519101900569 -0.1606721790145274 -3.467482846168772 -7.041657472219659
0.134 -3.301973165539123 -7.140079242454557 0.08234386871125966 -0.1631795103076149 -3.384317034250383 -6.976899732146942
0.136 -3.221418686984012 -7.078431052468633 0.08246477486659913 -0.1656902707504311 -3.303883461850611 -6.912740781718202
0.138 -3.143486937041877 -7.017409629928695 0.08258793238558994 -0.1682045225288418 -3.226074869427467 -6.849205107399853
0.14 -3.068075140453733 -6.957036031912581 0.08271336475960354 -0.1707223283761643 -3.150788505213336 -6.786313703536417
0.142 -2.995084859743757 -6.89732814739644 0.08284109608500753 -0.1732437515859086 -3.077925955828765 -6.724084395810531
0.144 -2.924421827436949 -6.83830099304206 0.08297115107784368 -0.1757688560246741 -3.007392978514793 -6.662532137017386
0.146 -2.855995780751717 -6.779966983572137 0.08310355508900021 -0.1782977061452972 -2.939099335840717 -6.60166927742684
0.148 -2.789720299456129 -6.722336178834892 0.08323833411988785 -0.1808303670002692 -2.872958633576017 -6.541505811834623
0.15 -2.725512647432918 -6.665416509497498 0.08337551483865298 -0.1833669042554103 -2.808888162271571 -6.482049605242088
0.152 -2.663293618376024 -6.609213983155903 0.08351512459692569 -0.1859073842037749 -2.74680874297295 -6.423306598952128
0.154 -2.602987385937614 -6.553732872506845 0.08365719144715146 -0.1884518737798616 -2.686644577384766 -6.365280998726983
0.156 -2.544521358556773 -6.498975887095518 0.08380174416048985 -0.191000440574086 -2.628323102717263 -6.307975446521431
0.158 -2.48782603912702 -6.444944330029556 0.08394881224533708 -0.1935531528475184 -2.571774851372358 -6.251391177182038
0.16 -2.432834889597908 -6.391638240936193 0.08409842596647478 -0.1961100795469411 -2.516933315564383 -6.195528161389252
0.162 -2.379484200554224 -6.339056526333913 0.08425061636486594 -0.1986712903201819 -2.463734816919089 -6.140385236013731
0.164 -2.327712965773491 -6.287197078492768 0.08440541527813814 -0.2012368555317353 -2.412118381051628 -6.085960222961033
0.166 -2.277462761727306 -6.236056883767747 0.08456285536176363 -0.2038068462787383 -2.36202561708907 -6.03225003748901
0.168 -2.228677631963302 -6.185632121306872 0.08472297011096044 -0.20638133440724 -2.313400602074263 -5.979250786899632
0.17 -2.181303976281387 -6.135918252959671 0.08488579388337499 -0.208960392528756 -2.266189770164762 -5.926957860430916
0.172 -2.135290444599645 -6.086910105142021 0.08505136192251583 -0.2115440940372255 -2.220341806522161 -5.875366011104796
0.174 -2.090587835390782 -6.03860194334886 0.0852197103820294 -0.2141325131262594 -2.175807545772811 -5.824469430222601
0.176 -2.047148998559223 -5.990987539947744 0.08539087635080081 -0.2167257248067567 -2.132539874910024 -5.774261815140987
0.178 -2.00492874262087 -5.94406023583205 0.0855648978789411 -0.2193238049248735 -2.090493640499811 -5.724736430907177
0.18 -1.963883746041934 -5.897812996463286 0.08574181400469394 -0.221926830180317 -2.049625560046628 -5.675886166282969
0.182 -1.923972472589765 -5.852238462786768 0.08592166478225982 -0.2245348781450991 -2.009894137372024 -5.627703584641669
0.184 -1.885155090546655 -5.807328997463213 0.0861044913106422 -0.2271480272825565 -1.971259581857298 -5.580180970180657
0.186 -1.84739339563725 -5.763076726821246 0.08629033576347991 -0.2297663569668497 -1.93368373140073 -5.533310369854396
0.188 -1.810650737520817 -5.719473578900727 0.0864792414199629 -0.2323899475027791 -1.89712997894078 -5.487083631397948
0.19 -1.77489194970137 -5.676511317925462 0.08667125269683786 -0.2350188801460852 -1.861563202398208 -5.441492437779377
0.192 -1.740083282711003 -5.634181575514445 0.08686641518156542 -0.2376532371240892 -1.826949697892568 -5.396528338390356
0.194 -1.706192340424866 -5.592475878914601 0.08706477566666808 -0.2402931016567896 -1.793257116091534 -5.352182777257811
0.196 -1.673188019369699 -5.551385676513488 0.08726638218532361 -0.2429385579783418 -1.760454401555023 -5.308447118535146
0.198 -1.641040450891736 -5.510902360868496 0.0874712840482295 -0.245589691359064 -1.728511734939965 -5.265312669509432
0.2 -1.609720946053895 -5.47101728946846 0.08767953188183686 -0.248246588127747 -1.697400477935731 -5.222770701340712
0.202 -1.579201943136595 -5.431721803425597 0.08789117766794786 -0.2509093356945575 -1.667093120804543 -5.180812467731039
0.204 -1.549456957620869 -5.393007244278196 0.08810627478478904 -0.2535780225742878 -1.637563232405657 -5.139429221703908
0.206 -1.520460534537102 -5.354864969069477 0.08832487804959216 -0.2562527384101077 -1.608785412586694 -5.098612230659369
